City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
2,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,San Quintin,MX,68.09,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
20,Airai,TL,63.05,scattered clouds,-8.9266,125.4092,Juvinal Martin
27,Monopoli,IT,65.71,overcast clouds,40.9559,17.2896,Il Melograno
29,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
30,Port Elizabeth,ZA,64.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
34,Cape Town,ZA,64.35,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
37,Muzaffarpur,IN,66.13,scattered clouds,26.1167,85.4,Hotel Ranjeet
38,Port Alfred,ZA,63.36,overcast clouds,-33.5906,26.891,The Halyards Hotel
45,Hermanus,ZA,61.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Camacha,PT,65.62,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
49,Salta,AR,68.29,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
51,Charters Towers,AU,71.19,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
52,Port Lincoln,AU,55.69,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
56,Sterling,US,56.77,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
57,Cascais,PT,61.95,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
58,Fukue,JP,66.31,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
60,Hasaki,JP,55.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
62,Knysna,ZA,61.02,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
66,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
70,Constitucion,CL,59.85,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
76,Noumea,NC,62.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
82,Hamilton,US,56.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
84,Colares,PT,61.79,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
92,Yumbel,CL,73.63,clear sky,-37.0833,-72.5667,Hotel Fuerte Santa LucÍa de Yumbel
95,Katsuura,JP,59.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
97,Poum,NC,73.51,overcast clouds,-20.2333,164.0167,Gîte kajeon
99,Ancud,CL,62.13,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
104,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
108,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
122,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
127,Asfi,MA,65.64,clear sky,32.2994,-9.2372,Hôtel Abda
142,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
145,Garden Acres,US,61.45,clear sky,37.9638,-121.2294,Clarion Inn & Suites
148,Glenwood Springs,US,56.35,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
151,Santa Barbara,US,56.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
153,Damietta,EG,74.61,scattered clouds,31.4165,31.8133,SULIMAN INN
157,Chimbarongo,CL,74.71,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
164,Gallup,US,56.16,clear sky,35.5281,-108.7426,El Capitan Motel
165,Guerrero Negro,MX,71.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
171,Skibbereen,IE,55.2,overcast clouds,51.55,-9.2667,The West Cork Hotel
172,Namibe,AO,71.4,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
175,Tezu,IN,62.87,few clouds,27.9167,96.1667,Circuit House
183,Rengali,IN,66.58,clear sky,21.6333,84.05,OYO 68699 Hotel Highway Halt
189,East London,ZA,65.16,overcast clouds,-33.0153,27.9116,Tu Casa
192,Geraldton,AU,59.41,few clouds,-28.7667,114.6,Broadwater Mariner Resort
198,Qingdao,CN,58.6,mist,36.0986,120.3719,东晖国际大酒店餐厅
202,Lufilufi,WS,71.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
204,Taltal,CL,66.67,clear sky,-25.4,-70.4833,Residencial Karime
209,Nador,MA,59.07,clear sky,35.174,-2.9287,Hôtel La Giralda
