City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saint George,US,2021-11-06 17:08:31,37.1041,-113.5841,72.07,47,1,3.44,clear sky
1,Ushuaia,AR,2021-11-06 17:06:41,-54.8,-68.3,45.18,91,100,2.64,overcast clouds
2,Vaini,TO,2021-11-06 17:08:31,-21.2,-175.2,73.56,94,40,4.61,scattered clouds
3,Belaya Gora,RU,2021-11-06 17:08:32,68.5333,146.4167,11.08,94,95,12.82,light snow
4,Khatanga,RU,2021-11-06 17:08:32,71.9667,102.5,11.32,93,100,13.8,overcast clouds
5,Chokurdakh,RU,2021-11-06 17:08:32,70.6333,147.9167,4.87,95,100,8.34,overcast clouds
6,Boke,GN,2021-11-06 17:08:33,10.9409,-14.2967,89.13,59,38,2.95,scattered clouds
7,Castro,BR,2021-11-06 17:08:33,-24.7911,-50.0119,76.82,69,54,4.47,broken clouds
8,Mataura,NZ,2021-11-06 17:03:20,-46.1927,168.8643,50.49,98,66,0.89,broken clouds
9,Shiyan,CN,2021-11-06 17:08:34,32.6475,110.7781,40.08,80,100,19.42,light rain
10,Rikitea,PF,2021-11-06 17:06:40,-23.1203,-134.9692,75.18,81,100,16.49,overcast clouds
11,Kodiak,US,2021-11-06 17:08:34,57.79,-152.4072,33.31,60,40,11.5,scattered clouds
12,Bengkulu,ID,2021-11-06 17:08:35,-3.8004,102.2655,76.23,92,98,9.31,overcast clouds
13,Punta Arenas,CL,2021-11-06 17:06:40,-53.15,-70.9167,53.71,62,90,14.97,light intensity shower rain
14,Tasiilaq,GL,2021-11-06 17:08:36,65.6145,-37.6368,26.76,70,76,7.36,broken clouds
15,Victoria,HK,2021-11-06 17:05:53,22.2855,114.1577,78.24,88,17,1.99,light rain
16,Lasa,IT,2021-11-06 17:08:36,46.6166,10.7002,38.62,74,0,2.8,clear sky
17,Itaquyry,PY,2021-11-06 17:08:37,-24.9333,-55.2167,88.02,47,60,4.99,broken clouds
18,Bredasdorp,ZA,2021-11-06 17:08:37,-34.5322,20.0403,61.29,57,94,8.39,overcast clouds
19,San Quintin,MX,2021-11-06 17:08:37,30.4833,-115.95,68.09,71,0,7.99,clear sky
20,Airai,TL,2021-11-06 17:08:38,-8.9266,125.4092,63.05,92,44,0.98,scattered clouds
21,Busselton,AU,2021-11-06 17:06:41,-33.65,115.3333,46.09,82,0,10.04,clear sky
22,Pangnirtung,CA,2021-11-06 17:08:39,66.1451,-65.7125,15.46,59,36,9.84,scattered clouds
23,Kapaa,US,2021-11-06 17:08:39,22.0752,-159.319,75.52,81,20,13.8,light rain
24,Tuktoyaktuk,CA,2021-11-06 17:08:39,69.4541,-133.0374,10.65,91,85,11.59,overcast clouds
25,Provideniya,RU,2021-11-06 17:08:40,64.3833,-173.3,7.88,81,6,6.49,clear sky
26,Lorengau,PG,2021-11-06 17:08:40,-2.0226,147.2712,81.72,78,59,8.97,broken clouds
27,Monopoli,IT,2021-11-06 17:08:41,40.9559,17.2896,65.71,95,100,10.18,overcast clouds
28,Kidal,ML,2021-11-06 17:08:41,18.4411,1.4078,93.06,11,5,4.12,clear sky
29,Marawi,PH,2021-11-06 17:08:42,7.9986,124.2928,69.66,95,99,0.67,overcast clouds
30,Port Elizabeth,ZA,2021-11-06 17:08:42,-33.918,25.5701,64.09,76,100,3.89,overcast clouds
31,Butaritari,KI,2021-11-06 17:08:42,3.0707,172.7902,81.79,71,100,14.97,overcast clouds
32,Marsh Harbour,BS,2021-11-06 17:08:43,26.5412,-77.0636,81.32,75,100,20.36,overcast clouds
33,Puerto Ayora,EC,2021-11-06 17:06:41,-0.7393,-90.3518,78.76,70,70,10.94,broken clouds
34,Cape Town,ZA,2021-11-06 17:05:43,-33.9258,18.4232,64.35,59,79,1.99,broken clouds
35,Atuona,PF,2021-11-06 17:08:43,-9.8,-139.0333,77.99,75,39,16.87,scattered clouds
36,Kavieng,PG,2021-11-06 17:08:44,-2.5744,150.7967,83.23,74,74,16.08,broken clouds
37,Muzaffarpur,IN,2021-11-06 17:08:44,26.1167,85.4,66.13,53,37,4.45,scattered clouds
38,Port Alfred,ZA,2021-11-06 17:08:45,-33.5906,26.891,63.36,81,100,4.94,overcast clouds
39,Mahebourg,MU,2021-11-06 17:08:45,-20.4081,57.7,76.24,75,79,12.39,broken clouds
40,Albany,US,2021-11-06 17:05:35,42.6001,-73.9662,51.13,57,16,1.01,few clouds
41,Peski,RU,2021-11-06 17:08:46,55.2163,38.7626,45.19,75,84,13.94,broken clouds
42,Lokosovo,RU,2021-11-06 17:08:46,61.1333,74.8167,34.0,97,100,17.47,light rain
43,Severo-Kurilsk,RU,2021-11-06 17:08:47,50.6789,156.125,34.97,75,7,1.66,clear sky
44,Bluff,NZ,2021-11-06 17:08:47,-46.6,168.3333,50.81,86,78,4.03,broken clouds
45,Hermanus,ZA,2021-11-06 17:06:35,-34.4187,19.2345,61.9,63,62,8.23,broken clouds
46,Aktas,KZ,2021-11-06 17:14:43,49.7789,72.9608,17.35,70,34,5.53,scattered clouds
47,Camacha,PT,2021-11-06 17:14:43,33.0833,-16.3333,65.62,60,75,14.97,broken clouds
48,Bayreuth,DE,2021-11-06 17:14:44,49.9481,11.5783,43.68,92,11,1.99,few clouds
49,Salta,AR,2021-11-06 17:12:52,-24.7859,-65.4117,68.29,57,46,5.01,scattered clouds
50,Adrar,MR,2021-11-06 17:14:44,20.5022,-10.0711,86.76,18,12,9.57,few clouds
51,Charters Towers,AU,2021-11-06 17:14:45,-20.1,146.2667,71.19,79,75,12.93,broken clouds
52,Port Lincoln,AU,2021-11-06 17:14:45,-34.7333,135.8667,55.69,61,100,7.58,overcast clouds
53,Dikson,RU,2021-11-06 17:14:46,73.5069,80.5464,15.91,92,100,15.48,overcast clouds
54,Sao Joao Da Barra,BR,2021-11-06 17:14:46,-21.6403,-41.0511,78.89,67,90,10.76,overcast clouds
55,Talara,PE,2021-11-06 17:14:46,-4.5772,-81.2719,75.96,64,0,17.27,clear sky
56,Sterling,US,2021-11-06 17:14:47,39.0062,-77.4286,56.77,48,40,3.0,scattered clouds
57,Cascais,PT,2021-11-06 17:14:47,38.6979,-9.4215,61.95,34,0,1.99,clear sky
58,Fukue,JP,2021-11-06 17:14:48,32.6881,128.8419,66.31,69,54,20.54,broken clouds
59,Bethel,US,2021-11-06 17:06:38,41.3712,-73.414,52.99,51,1,1.01,clear sky
60,Hasaki,JP,2021-11-06 17:14:48,35.7333,140.8333,55.8,62,100,9.35,overcast clouds
61,Hilo,US,2021-11-06 17:14:49,19.7297,-155.09,77.29,72,1,8.05,clear sky
62,Knysna,ZA,2021-11-06 17:14:49,-34.0363,23.0471,61.02,71,87,3.8,overcast clouds
63,Acapulco,MX,2021-11-06 17:14:50,16.8634,-99.8901,83.52,66,91,2.95,overcast clouds
64,Francisco Sa,BR,2021-11-06 17:14:50,-16.4758,-43.4883,87.37,47,84,3.15,broken clouds
65,Codrington,AU,2021-11-06 17:14:51,-38.2667,141.9667,51.93,73,100,9.57,overcast clouds
66,Avarua,CK,2021-11-06 17:14:51,-21.2078,-159.775,73.45,73,40,5.75,scattered clouds
67,Honolulu,US,2021-11-06 17:10:31,21.3069,-157.8583,76.86,74,20,1.99,few clouds
68,Bozhou,CN,2021-11-06 17:14:52,33.8772,115.7703,53.83,88,95,16.67,light rain
69,Korla,CN,2021-11-06 17:14:52,41.7597,86.1469,27.37,41,0,4.63,clear sky
70,Constitucion,CL,2021-11-06 17:14:52,-35.3333,-72.4167,59.85,60,44,6.6,scattered clouds
71,Kysyl-Syr,RU,2021-11-06 17:14:53,63.8986,122.7617,1.49,99,100,4.09,overcast clouds
72,Kutum,SD,2021-11-06 17:14:53,14.2,24.6667,79.43,21,3,9.33,clear sky
73,Qaanaaq,GL,2021-11-06 17:06:37,77.484,-69.3632,8.22,72,99,7.92,overcast clouds
74,Eyl,SO,2021-11-06 17:14:54,7.9803,49.8164,78.71,65,69,9.91,broken clouds
75,Jamestown,US,2021-11-06 17:06:38,42.097,-79.2353,50.29,46,1,3.0,clear sky
76,Noumea,NC,2021-11-06 17:14:55,-22.2763,166.4572,62.58,72,29,3.78,scattered clouds
77,Mitsamiouli,KM,2021-11-06 17:14:56,-11.3847,43.2844,80.78,77,79,4.56,broken clouds
78,Tsumeb,NA,2021-11-06 17:14:56,-19.2333,17.7167,89.76,22,99,9.22,overcast clouds
79,Maltahohe,NA,2021-11-06 17:14:56,-24.8333,16.9833,79.92,9,54,19.62,broken clouds
80,Kirovskiy,RU,2021-11-06 17:14:57,45.0917,133.5136,27.95,35,100,8.81,light snow
81,Batticaloa,LK,2021-11-06 17:14:58,7.7102,81.6924,79.11,80,75,10.33,light rain
82,Hamilton,US,2021-11-06 17:10:31,39.1834,-84.5333,56.75,47,1,1.01,clear sky
83,Yellowknife,CA,2021-11-06 17:02:04,62.456,-114.3525,30.42,99,100,1.01,overcast clouds
84,Colares,PT,2021-11-06 17:14:58,38.7992,-9.4469,61.79,34,0,1.99,clear sky
85,Torbay,CA,2021-11-06 17:14:59,47.6666,-52.7314,41.29,79,94,4.0,light rain
86,Arman,RU,2021-11-06 17:14:59,59.7,150.1667,34.95,94,100,16.8,overcast clouds
87,Faanui,PF,2021-11-06 17:15:00,-16.4833,-151.75,79.9,69,19,5.06,few clouds
