City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2021-11-05 23:10:17,78.2186,15.6401,12.04,73,40,3.44
1,Samarinda,ID,2021-11-05 23:14:38,-0.5,117.15,75.85,95,85,0.67
2,Hobart,AU,2021-11-05 23:14:38,-42.8794,147.3294,70.02,60,75,1.99
3,Punta Arenas,CL,2021-11-05 23:14:38,-53.15,-70.9167,53.71,58,75,28.77
4,Aklavik,CA,2021-11-05 23:14:39,68.2191,-135.0107,20.12,98,92,4.14
5,Hambantota,LK,2021-11-05 23:14:39,6.1241,81.1185,77.92,84,99,13.13
6,Vaini,TO,2021-11-05 23:14:40,-21.2,-175.2,82.56,89,40,10.36
7,Khorixas,NA,2021-11-05 23:14:40,-20.3667,14.9667,68.07,29,30,0.72
8,Whitehorse,CA,2021-11-05 23:14:41,60.7161,-135.0538,35.02,86,98,10.0
9,Mount Gambier,AU,2021-11-05 23:14:41,-37.8333,140.7667,55.33,94,100,8.28
10,Kamloops,CA,2021-11-05 23:14:41,50.6665,-120.3192,50.76,54,94,8.99
11,Cidreira,BR,2021-11-05 23:14:42,-30.1811,-50.2056,68.72,90,83,12.48
12,Busselton,AU,2021-11-05 23:14:42,-33.65,115.3333,51.04,66,1,7.31
13,Thompson,CA,2021-11-05 23:10:19,55.7435,-97.8558,35.98,73,100,4.34
14,Albany,US,2021-11-05 23:14:43,42.6001,-73.9662,42.03,68,41,5.32
15,Buloh Kasap,MY,2021-11-05 23:14:43,2.5536,102.764,73.17,97,100,1.43
16,Esperance,AU,2021-11-05 23:14:44,-33.8667,121.9,55.87,64,100,9.64
17,Kashi,CN,2021-11-05 23:14:44,39.4547,75.9797,41.23,39,100,9.06
18,Natal,BR,2021-11-05 23:14:44,-5.795,-35.2094,81.25,83,0,10.36
19,Provideniya,RU,2021-11-05 23:14:45,64.3833,-173.3,11.71,79,4,8.25
20,Mataura,NZ,2021-11-05 23:14:45,-46.1927,168.8643,60.48,40,92,4.23
21,Aksarka,RU,2021-11-05 23:14:46,66.5606,67.7975,15.19,98,99,6.11
22,Carnarvon,AU,2021-11-05 23:14:46,-24.8667,113.6333,66.27,72,40,24.16
23,Linjiang,CN,2021-11-05 23:14:47,41.8069,126.9078,42.67,94,43,1.34
24,Agadir,MA,2021-11-05 23:10:54,30.4202,-9.5982,57.65,52,0,3.31
25,Vermilion,US,2021-11-05 23:14:48,40.1667,-87.7506,47.39,55,1,5.75
26,Cape Town,ZA,2021-11-05 23:14:48,-33.9258,18.4232,58.12,78,6,7.29
27,Anacortes,US,2021-11-05 23:14:48,48.5126,-122.6127,53.62,78,75,1.99
28,Ushuaia,AR,2021-11-05 23:13:27,-54.8,-68.3,55.06,44,40,18.41
29,Wynyard,AU,2021-11-05 23:14:49,-41.0,145.7167,57.83,95,100,10.92
30,Rikitea,PF,2021-11-05 23:14:49,-23.1203,-134.9692,74.57,79,89,9.26
31,Kapaa,US,2021-11-05 23:14:50,22.0752,-159.319,82.38,74,75,1.01
32,Mar Del Plata,AR,2021-11-05 23:14:50,-38.0023,-57.5575,54.88,72,0,10.0
33,Sur,OM,2021-11-05 23:14:51,22.5667,59.5289,75.31,60,60,7.02
34,Half Moon Bay,US,2021-11-05 23:14:51,37.4636,-122.4286,67.21,69,1,1.99
35,Butaritari,KI,2021-11-05 23:14:51,3.0707,172.7902,82.42,71,14,12.64
36,San Patricio,US,2021-11-05 23:14:52,28.017,-97.5169,69.93,53,0,5.88
37,Debre Tabor,ET,2021-11-05 23:14:53,11.85,38.0167,49.6,80,23,1.88
38,Upernavik,GL,2021-11-05 23:12:45,72.7868,-56.1549,14.83,71,29,5.57
39,Bengkulu,ID,2021-11-05 23:14:54,-3.8004,102.2655,74.71,90,100,7.25
40,Saint-Joseph,RE,2021-11-05 23:14:54,-21.3667,55.6167,70.21,76,0,6.67
41,Bredasdorp,ZA,2021-11-05 23:14:55,-34.5322,20.0403,53.22,78,2,3.09
42,Sibolga,ID,2021-11-05 23:15:55,1.7427,98.7792,75.7,90,100,1.45
43,Luderitz,NA,2021-11-05 23:15:56,-26.6481,15.1594,60.55,72,48,16.96
44,Iqaluit,CA,2021-11-05 23:15:56,63.7506,-68.5145,15.53,86,75,5.75
