City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,2021-10-31 22:05:32,68.0531,39.5131,36.12,80,98,10.42
1,Arti,RU,2021-10-31 22:05:32,56.4234,58.5328,42.17,96,100,11.48
2,Mildura,AU,2021-10-31 22:05:32,-34.2,142.15,68.83,27,100,7.49
3,Kavaratti,IN,2021-10-31 22:04:13,10.5669,72.642,81.1,79,99,5.19
4,San Jose,US,2021-10-31 22:04:46,37.3394,-121.895,70.45,53,75,1.01
5,Cabo San Lucas,MX,2021-10-31 22:01:18,22.8909,-109.9124,88.61,66,14,1.01
6,Kapuskasing,CA,2021-10-31 22:05:33,49.4169,-82.4331,36.46,94,100,9.98
7,Hermanus,ZA,2021-10-31 22:04:43,-34.4187,19.2345,62.91,85,100,11.56
8,Saldanha,ZA,2021-10-31 22:03:04,-33.0117,17.9442,62.28,82,98,9.22
9,Ponta Do Sol,PT,2021-10-31 22:05:34,32.6667,-17.1,74.03,80,58,6.15
10,Kapaa,US,2021-10-31 22:05:35,22.0752,-159.319,82.47,73,1,5.01
11,Ballina,AU,2021-10-31 22:05:35,-28.8667,153.5667,68.18,83,100,6.49
12,Maceio,BR,2021-10-31 22:05:35,-9.6658,-35.7353,78.24,88,0,8.05
13,Punta Arenas,CL,2021-10-31 22:04:44,-53.15,-70.9167,51.91,58,0,18.41
14,Deputatskiy,RU,2021-10-31 22:05:36,69.3,139.9,-9.11,82,100,2.24
15,Hajiganj,BD,2021-10-31 22:05:37,23.2511,90.8592,66.43,70,5,5.93
16,Tabuleiro Do Norte,BR,2021-10-31 22:05:37,-5.2467,-38.1306,82.35,68,99,12.8
17,Bafoulabe,ML,2021-10-31 22:05:37,13.8065,-10.8321,85.21,44,29,2.86
18,Atuona,PF,2021-10-31 22:04:53,-9.8,-139.0333,78.73,75,4,19.86
19,Carutapera,BR,2021-10-31 22:05:38,-1.195,-46.02,77.38,90,52,6.06
20,Qaanaaq,GL,2021-10-31 22:05:38,77.484,-69.3632,12.4,69,100,8.86
21,Jalu,LY,2021-10-31 22:05:39,29.0331,21.5482,66.81,74,60,8.21
22,Chuy,UY,2021-10-31 22:05:39,-33.6971,-53.4616,65.61,94,38,8.57
23,Chokurdakh,RU,2021-10-31 22:05:40,70.6333,147.9167,-10.52,99,99,5.93
24,Bethel,US,2021-10-31 22:04:52,41.3712,-73.414,61.92,82,90,3.0
25,Codrington,AU,2021-10-31 22:04:58,-38.2667,141.9667,53.2,80,8,4.68
26,Jamestown,US,2021-10-31 22:04:48,42.097,-79.2353,53.19,79,90,10.0
27,Butaritari,KI,2021-10-31 22:05:40,3.0707,172.7902,81.54,77,35,9.69
28,Mosquera,CO,2021-10-31 22:05:41,4.7059,-74.2302,62.69,67,20,2.3
29,Avarua,CK,2021-10-31 22:04:41,-21.2078,-159.775,77.05,69,75,12.66
30,Ahipara,NZ,2021-10-31 22:05:42,-35.1667,173.1667,60.67,67,68,12.17
31,Luderitz,NA,2021-10-31 22:04:46,-26.6481,15.1594,60.94,79,57,5.82
